,task,num_simulations,num_observation,algorithm,seed,0,1,2,3,4,5,6,7,8,9,"[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 7]","[0, 8]","[0, 9]","[1, 2]","[1, 3]","[1, 4]","[1, 5]","[1, 6]","[1, 7]","[1, 8]","[1, 9]","[2, 3]","[2, 4]","[2, 5]","[2, 6]","[2, 7]","[2, 8]","[2, 9]","[3, 4]","[3, 5]","[3, 6]","[3, 7]","[3, 8]","[3, 9]","[4, 5]","[4, 6]","[4, 7]","[4, 8]","[4, 9]","[5, 6]","[5, 7]","[5, 8]","[5, 9]","[6, 7]","[6, 8]","[6, 9]","[7, 8]","[7, 9]","[8, 9]",1-dim mean,1-dim var,2-dim mean,2-dim var,path,folder
656,lotka_volterra,1000,5,SNLE,2989348775,0.5871000289916992,0.5731499791145325,0.5376999974250793,0.5795000195503235,,,,,,,0.6373000144958496,0.6797000169754028,0.6590999960899353,,,,,,,0.6239500045776367,0.5900499820709229,,,,,,,0.6381999850273132,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5693625062704086,0.00035856207617857017,0.6380499998728434,0.0007802038025508137,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SNLE/5-1000-2937968_124,2021-02-05/lotka_volterra/SNLE/5-1000-2937968_124
657,lotka_volterra,100000,10,SNLE,2764380921,0.5332000255584717,0.5180500149726868,0.5400500297546387,0.5149000287055969,,,,,,,0.5300999879837036,0.5401999950408936,0.5700500011444092,,,,,,,0.5400999784469604,0.5315499901771545,,,,,,,0.5584999918937683,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5265500247478485,0.00010861130498174276,0.5450833241144816,0.0002099456770277502,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SNLE/10-100000-2937968_149,2021-02-05/lotka_volterra/SNLE/10-100000-2937968_149
658,lotka_volterra,100000,3,SNLE,182001998,0.6826000213623047,0.6302499771118164,0.6761000156402588,0.6345499753952026,,,,,,,0.6876999735832214,0.6863499879837036,0.6819499731063843,,,,,,,0.6783499717712402,0.6461499929428101,,,,,,,0.6777999997138977,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6558749973773956,0.0005586691242198683,0.6763833165168762,0.00019638625189581185,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SNLE/3-100000-2937968_142,2021-02-05/lotka_volterra/SNLE/3-100000-2937968_142
659,lotka_volterra,10000,3,SNLE,3490343352,0.541450023651123,0.5695000290870667,0.5381500124931335,0.5491499900817871,,,,,,,0.5900499820709229,0.5935500264167786,0.5732499957084656,,,,,,,0.5875499844551086,0.5807999968528748,,,,,,,0.550849974155426,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5495625138282776,0.00014843309353373968,0.5793416599432627,0.0002058222851085824,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SNLE/3-10000-2937968_132,2021-02-05/lotka_volterra/SNLE/3-10000-2937968_132
660,lotka_volterra,10000,6,SNLE,2572683570,0.9110000133514404,0.6510999798774719,0.699400007724762,0.8314999938011169,,,,,,,0.9179999828338623,0.9162999987602234,0.9185000061988831,,,,,,,0.7295500040054321,0.8371000289916992,,,,,,,0.8452500104904175,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7732499986886978,0.010685644182784726,0.8607833385467529,0.004618571532737074,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SNLE/6-10000-2937968_135,2021-02-05/lotka_volterra/SNLE/6-10000-2937968_135
661,lotka_volterra,1000,5,SMC-ABC,3062202387,0.9541000127792358,0.9710999727249146,0.93954998254776,0.9752500057220459,,,,,,,0.9965500235557556,0.9919000267982483,0.9974499940872192,,,,,,,0.9969000220298767,0.9985499978065491,,,,,,,0.996999979019165,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9599999934434891,0.00020219628300455206,0.9963916738828024,4.434470823926834e-06,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SMC-ABC/5-1000-2937968_94,2021-02-05/lotka_volterra/SMC-ABC/5-1000-2937968_94
662,lotka_volterra,100000,8,SMC-ABC,508887290,0.9391499757766724,0.8785499930381775,0.9266499876976013,0.8774999976158142,,,,,,,0.9638500213623047,0.9449499845504761,0.9757999777793884,,,,,,,0.9678999781608582,0.9494500160217285,,,,,,,0.972350001335144,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9054624885320663,0.0007724850574237774,0.9623833298683167,0.0001305196182741497,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SMC-ABC/8-100000-2937968_117,2021-02-05/lotka_volterra/SMC-ABC/8-100000-2937968_117
663,lotka_volterra,1000,1,SMC-ABC,2575746227,0.9665499925613403,0.901449978351593,0.9376500248908997,0.9659000039100647,,,,,,,0.9921500086784363,0.9941999912261963,0.9973499774932861,,,,,,,0.9904500246047974,0.9922999739646912,,,,,,,0.9965999722480774,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9428874999284744,0.0007084970590767181,0.9938416580359141,6.131108339740225e-06,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SMC-ABC/1-1000-2937968_90,2021-02-05/lotka_volterra/SMC-ABC/1-1000-2937968_90
664,lotka_volterra,100000,9,SMC-ABC,1858010568,0.9003000259399414,0.7519999742507935,0.8352000117301941,0.8159499764442444,,,,,,,0.9361000061035156,0.9196000099182129,0.9654499888420105,,,,,,,0.9394999742507935,0.8924000263214111,,,,,,,0.9369000196456909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8258624970912933,0.0027955163066666344,0.9316583375136057,0.0004895314799526516,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SMC-ABC/9-100000-2937968_118,2021-02-05/lotka_volterra/SMC-ABC/9-100000-2937968_118
665,lotka_volterra,10000,3,SMC-ABC,1061133364,0.9036999940872192,0.8323000073432922,0.868399977684021,0.8723499774932861,,,,,,,0.9459499716758728,0.9302499890327454,0.9656000137329102,,,,,,,0.9466999769210815,0.9478999972343445,,,,,,,0.965149998664856,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8691874891519547,0.0006406052044780619,0.950258324543635,0.00014904138752718727,/home/ben/sci/marginal_c2sts/2021-02-05/lotka_volterra/SMC-ABC/3-10000-2937968_102,2021-02-05/lotka_volterra/SMC-ABC/3-10000-2937968_102
